level,proficiency,able,strength,con,wis,dex,intelligence,cha,hd,hp,ac,initiative,healing_spells,buff_spells,attack_bonus,weapon_damage,winrate
0.0,0.0,0.0,-7.0,0.0,-2.0,-1.0,1.0,9.0,0.0,-5.0,0.0,-1.0,0.0,0.0,-1.0,-8.0,0.14
-1.0,0.0,0.0,0.0,5.0,1.0,4.0,4.0,1.0,2.0,-4.0,2.0,2.0,0.0,0.0,2.0,-2.0,0.526
1.0,1.0,0.0,-8.0,-2.0,2.0,3.0,1.0,4.0,-1.0,1.0,-3.0,1.0,0.0,0.0,0.0,4.0,0.607
0.0,0.0,0.0,-9.0,0.0,2.0,4.0,-1.0,-1.0,0.0,-4.0,-5.0,2.0,0.0,0.0,-2.0,7.0,0.276
1.0,0.0,0.0,1.0,6.0,5.0,-2.0,-3.0,-7.0,3.0,17.0,0.0,-1.0,0.0,0.0,-1.0,2.0,0.863
0.0,0.0,0.0,-6.0,-3.0,7.0,10.0,8.0,-2.0,-1.0,-2.0,-1.0,5.0,0.0,0.0,1.0,0.0,0.408
2.0,1.0,0.0,-6.0,0.0,-4.0,3.0,-2.0,5.0,0.0,15.0,-2.0,2.0,0.0,0.0,0.0,-2.0,0.705
0.0,0.0,0.0,1.0,-3.0,-7.0,4.0,-3.0,-2.0,-1.0,10.0,-4.0,2.0,0.0,0.0,0.0,6.0,0.682
1.0,0.0,0.0,-6.0,2.0,-4.0,4.0,6.0,6.0,1.0,12.0,1.0,2.0,0.0,0.0,-1.0,-5.0,0.412
-2.0,-1.0,0.0,1.0,-4.0,-2.0,0.0,2.0,-10.0,-2.0,-12.0,-4.0,0.0,0.0,0.0,0.0,-7.0,0.001
0.0,0.0,0.0,1.0,0.0,1.0,-4.0,2.0,-3.0,0.0,2.0,4.0,-2.0,0.0,0.0,0.0,2.0,0.812
2.0,1.0,0.0,-2.0,-2.0,-2.0,3.0,1.0,3.0,-1.0,19.0,-1.0,2.0,0.0,0.0,1.0,0.0,0.924
0.0,0.0,0.0,9.0,8.0,4.0,3.0,1.0,0.0,4.0,6.0,7.0,1.0,0.0,0.0,3.0,0.0,0.937
2.0,1.0,0.0,-1.0,1.0,4.0,-2.0,-7.0,-2.0,0.0,21.0,-2.0,-1.0,0.0,0.0,-1.0,-2.0,0.816
-1.0,-1.0,0.0,4.0,0.0,0.0,0.0,8.0,5.0,0.0,-3.0,-3.0,0.0,0.0,0.0,0.0,2.0,0.306
2.0,1.0,0.0,-2.0,-1.0,4.0,1.0,0.0,-6.0,0.0,22.0,0.0,1.0,0.0,0.0,0.0,-2.0,0.817
0.0,0.0,0.0,3.0,7.0,-1.0,-6.0,-3.0,2.0,4.0,19.0,5.0,-3.0,0.0,0.0,1.0,6.0,0.998
-2.0,-1.0,0.0,2.0,1.0,-1.0,-1.0,5.0,-3.0,0.0,-12.0,-1.0,-1.0,0.0,0.0,-1.0,0.0,0.103
-2.0,-1.0,0.0,-2.0,-1.0,-2.0,-1.0,0.0,2.0,0.0,-28.0,-1.0,0.0,0.0,0.0,0.0,-4.0,0.002
2.0,1.0,0.0,3.0,2.0,-2.0,1.0,7.0,5.0,1.0,15.0,0.0,0.0,0.0,0.0,2.0,-4.0,0.857
-2.0,-1.0,0.0,-4.0,2.0,-5.0,6.0,2.0,2.0,1.0,-12.0,-8.0,3.0,0.0,0.0,0.0,-5.0,0.0
1.0,1.0,0.0,11.0,2.0,-2.0,-4.0,2.0,2.0,1.0,11.0,2.0,-2.0,0.0,0.0,1.0,4.0,0.936
1.0,1.0,0.0,-4.0,-4.0,-2.0,0.0,-2.0,-1.0,-2.0,3.0,0.0,0.0,0.0,0.0,0.0,-4.0,0.389
-1.0,-1.0,0.0,-5.0,-3.0,4.0,6.0,2.0,-4.0,-1.0,-19.0,-2.0,3.0,0.0,0.0,0.0,-6.0,0.025
0.0,0.0,0.0,3.0,1.0,-4.0,-2.0,1.0,4.0,0.0,-2.0,1.0,-1.0,0.0,0.0,-1.0,-2.0,0.222
0.0,0.0,0.0,3.0,-2.0,2.0,-1.0,-7.0,-4.0,-1.0,1.0,1.0,-1.0,0.0,0.0,-1.0,-2.0,0.444
-1.0,0.0,0.0,-6.0,0.0,4.0,5.0,-2.0,-1.0,0.0,-4.0,-4.0,2.0,0.0,0.0,0.0,-2.0,0.21
0.0,0.0,0.0,0.0,-2.0,-3.0,1.0,6.0,1.0,-1.0,-8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.107
-2.0,-1.0,0.0,-2.0,-1.0,-5.0,-2.0,-1.0,4.0,-1.0,-17.0,-4.0,-1.0,0.0,0.0,-1.0,4.0,0.071
-1.0,0.0,0.0,11.0,4.0,4.0,-2.0,-3.0,-6.0,2.0,0.0,4.0,-1.0,0.0,0.0,2.0,6.0,0.924
2.0,1.0,0.0,4.0,-2.0,-9.0,0.0,4.0,4.0,-1.0,7.0,-3.0,0.0,0.0,0.0,0.0,-2.0,0.584
-2.0,-1.0,0.0,2.0,-4.0,0.0,-2.0,-2.0,-9.0,-2.0,-22.0,4.0,-1.0,0.0,0.0,0.0,0.0,0.265
2.0,1.0,0.0,0.0,-5.0,1.0,2.0,3.0,5.0,-2.0,10.0,0.0,1.0,0.0,0.0,1.0,0.0,0.94
2.0,1.0,0.0,2.0,0.0,3.0,-3.0,-4.0,-2.0,0.0,20.0,-1.0,-1.0,0.0,0.0,-1.0,0.0,0.908
0.0,0.0,0.0,7.0,-2.0,-4.0,-3.0,-1.0,-2.0,-1.0,1.0,-2.0,-2.0,0.0,0.0,-2.0,0.0,0.234
1.0,0.0,0.0,-2.0,0.0,-4.0,-3.0,-4.0,1.0,0.0,6.0,-2.0,-2.0,0.0,0.0,-2.0,-4.0,0.323
2.0,1.0,0.0,8.0,1.0,6.0,5.0,-1.0,-11.0,0.0,18.0,7.0,3.0,0.0,0.0,3.0,2.0,1.0
2.0,1.0,0.0,9.0,7.0,7.0,6.0,0.0,7.0,4.0,27.0,3.0,3.0,0.0,0.0,3.0,-2.0,0.99
1.0,0.0,0.0,-2.0,-3.0,-3.0,10.0,-3.0,1.0,-1.0,8.0,-1.0,5.0,0.0,0.0,3.0,0.0,0.849
0.0,0.0,0.0,5.0,-2.0,-8.0,-2.0,0.0,7.0,-1.0,7.0,-6.0,-1.0,0.0,0.0,1.0,2.0,0.541
2.0,1.0,0.0,-1.0,2.0,3.0,4.0,1.0,-4.0,1.0,30.0,4.0,2.0,0.0,0.0,0.0,-4.0,0.962
0.0,0.0,0.0,11.0,-2.0,-2.0,-6.0,-1.0,7.0,-1.0,5.0,-2.0,-3.0,0.0,0.0,-2.0,-3.0,0.105
0.0,0.0,0.0,0.0,-4.0,-4.0,4.0,7.0,-3.0,-2.0,-2.0,2.0,2.0,0.0,0.0,2.0,0.0,0.631
0.0,0.0,0.0,-2.0,4.0,2.0,4.0,-4.0,-3.0,2.0,4.0,-4.0,2.0,0.0,0.0,2.0,0.0,0.54
0.0,0.0,0.0,-8.0,-2.0,-1.0,2.0,0.0,8.0,-1.0,-3.0,-1.0,1.0,0.0,0.0,-1.0,0.0,0.289
2.0,1.0,0.0,7.0,0.0,-2.0,2.0,-2.0,-5.0,0.0,20.0,6.0,1.0,0.0,0.0,3.0,11.0,1.0
-2.0,-1.0,0.0,-4.0,-5.0,-1.0,0.0,-8.0,6.0,-2.0,-18.0,-3.0,0.0,0.0,0.0,0.0,2.0,0.072
-1.0,0.0,0.0,-10.0,-3.0,0.0,1.0,3.0,4.0,-2.0,-17.0,-5.0,0.0,0.0,0.0,-3.0,-11.0,0.0
0.0,0.0,0.0,3.0,0.0,0.0,-2.0,-8.0,10.0,0.0,2.0,0.0,-1.0,0.0,0.0,-1.0,0.0,0.58
0.0,0.0,0.0,3.0,1.0,-2.0,6.0,-4.0,-4.0,1.0,1.0,-2.0,3.0,0.0,0.0,3.0,0.0,0.69
-2.0,-1.0,0.0,-4.0,-4.0,-2.0,-2.0,1.0,-6.0,-2.0,-16.0,-1.0,-1.0,0.0,0.0,-1.0,2.0,0.107
2.0,1.0,0.0,1.0,-4.0,-10.0,-3.0,-2.0,0.0,-2.0,20.0,-6.0,-2.0,0.0,0.0,0.0,2.0,0.787
0.0,0.0,0.0,12.0,2.0,-8.0,-4.0,2.0,1.0,1.0,1.0,0.0,-2.0,0.0,0.0,2.0,-2.0,0.658
2.0,1.0,0.0,-12.0,1.0,3.0,3.0,1.0,2.0,0.0,14.0,3.0,2.0,0.0,0.0,-1.0,-8.0,0.659
2.0,1.0,0.0,2.0,-4.0,1.0,-1.0,4.0,3.0,-2.0,15.0,0.0,-1.0,0.0,0.0,-1.0,2.0,0.862
0.0,0.0,0.0,-5.0,0.0,5.0,-3.0,7.0,-3.0,0.0,-11.0,1.0,-2.0,0.0,0.0,-3.0,0.0,0.175
0.0,0.0,0.0,2.0,-2.0,-1.0,1.0,5.0,3.0,-1.0,1.0,1.0,0.0,0.0,0.0,0.0,-5.0,0.33
0.0,0.0,0.0,2.0,2.0,-2.0,1.0,-1.0,-2.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,4.0,0.748
1.0,0.0,0.0,-2.0,-3.0,0.0,0.0,-4.0,-3.0,-1.0,6.0,2.0,0.0,0.0,0.0,0.0,2.0,0.828
0.0,0.0,0.0,-1.0,2.0,7.0,5.0,3.0,1.0,1.0,-5.0,0.0,3.0,0.0,0.0,3.0,-4.0,0.547
-2.0,-1.0,0.0,-6.0,-3.0,-2.0,0.0,3.0,3.0,-2.0,-22.0,-3.0,0.0,0.0,0.0,0.0,-2.0,0.003
0.0,0.0,0.0,8.0,-1.0,2.0,-2.0,2.0,-6.0,0.0,0.0,-2.0,-1.0,0.0,0.0,0.0,2.0,0.493
1.0,0.0,0.0,9.0,1.0,1.0,-4.0,-4.0,-3.0,0.0,18.0,-1.0,-2.0,0.0,0.0,0.0,6.0,0.919
-2.0,-1.0,0.0,5.0,5.0,-4.0,-5.0,7.0,-7.0,2.0,-12.0,-3.0,-2.0,0.0,0.0,-1.0,0.0,0.003
0.0,0.0,0.0,7.0,-2.0,-5.0,-4.0,7.0,-10.0,-1.0,-4.0,-2.0,-2.0,0.0,0.0,1.0,3.0,0.895
1.0,0.0,0.0,2.0,2.0,-3.0,6.0,0.0,1.0,1.0,14.0,1.0,3.0,0.0,0.0,1.0,2.0,0.838
0.0,0.0,0.0,5.0,-2.0,-8.0,-12.0,-6.0,-2.0,-1.0,2.0,-2.0,-6.0,0.0,0.0,-2.0,6.0,0.496
2.0,1.0,0.0,2.0,0.0,1.0,2.0,0.0,-2.0,0.0,18.0,4.0,1.0,0.0,0.0,1.0,4.0,0.998
-1.0,-1.0,0.0,-3.0,0.0,-4.0,1.0,3.0,9.0,0.0,-13.0,1.0,1.0,0.0,0.0,1.0,-2.0,0.191
-1.0,0.0,0.0,-4.0,-1.0,-1.0,1.0,-2.0,-5.0,0.0,-2.0,2.0,1.0,0.0,0.0,1.0,5.0,0.919
-1.0,-1.0,0.0,0.0,2.0,0.0,-1.0,1.0,1.0,1.0,-10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.138
0.0,0.0,0.0,-1.0,4.0,3.0,0.0,1.0,-4.0,2.0,6.0,-3.0,0.0,0.0,0.0,0.0,-2.0,0.297
0.0,0.0,0.0,0.0,3.0,1.0,0.0,1.0,-4.0,2.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.603
0.0,0.0,0.0,-8.0,0.0,-1.0,4.0,0.0,1.0,0.0,-11.0,-5.0,2.0,0.0,0.0,-1.0,-8.0,0.003
0.0,0.0,0.0,0.0,4.0,-7.0,0.0,2.0,1.0,2.0,4.0,1.0,0.0,0.0,0.0,0.0,-4.0,0.364
-2.0,-1.0,0.0,6.0,0.0,4.0,-7.0,1.0,1.0,0.0,-14.0,2.0,-4.0,0.0,0.0,-1.0,-2.0,0.141
-1.0,0.0,0.0,7.0,-4.0,1.0,-2.0,-7.0,5.0,-2.0,-10.0,5.0,-1.0,0.0,0.0,1.0,7.0,0.819
1.0,1.0,0.0,-2.0,-4.0,3.0,4.0,2.0,-3.0,-2.0,8.0,3.0,2.0,0.0,0.0,2.0,2.0,0.99
0.0,0.0,0.0,0.0,0.0,-6.0,-1.0,-1.0,6.0,0.0,-1.0,-2.0,0.0,0.0,0.0,0.0,-2.0,0.285
2.0,1.0,0.0,1.0,-2.0,1.0,-2.0,6.0,2.0,-1.0,10.0,-2.0,-1.0,0.0,0.0,-1.0,0.0,0.69
-1.0,-1.0,0.0,2.0,-3.0,-2.0,2.0,1.0,-2.0,-2.0,-11.0,2.0,1.0,0.0,0.0,1.0,-2.0,0.288
0.0,0.0,0.0,-1.0,0.0,0.0,2.0,-5.0,2.0,0.0,2.0,1.0,1.0,0.0,0.0,1.0,0.0,0.746
-1.0,0.0,0.0,6.0,-2.0,4.0,-7.0,4.0,-3.0,-1.0,-8.0,3.0,-3.0,0.0,0.0,-1.0,-7.0,0.028
0.0,0.0,0.0,9.0,-4.0,2.0,-6.0,-1.0,-2.0,-2.0,4.0,4.0,-3.0,0.0,0.0,1.0,8.0,0.875
0.0,0.0,0.0,0.0,0.0,-2.0,-1.0,-2.0,4.0,0.0,-5.0,-2.0,-1.0,0.0,0.0,0.0,-4.0,0.16
2.0,1.0,0.0,6.0,-1.0,-3.0,-5.0,-2.0,0.0,0.0,20.0,3.0,-2.0,0.0,0.0,1.0,2.0,0.968
2.0,1.0,0.0,0.0,-10.0,4.0,0.0,6.0,-4.0,-5.0,7.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.649
0.0,0.0,0.0,3.0,-5.0,-3.0,-11.0,-6.0,1.0,-3.0,-1.0,-2.0,-6.0,0.0,0.0,-3.0,0.0,0.264
2.0,1.0,0.0,3.0,5.0,5.0,1.0,-4.0,-2.0,3.0,29.0,5.0,1.0,0.0,0.0,2.0,0.0,0.997
1.0,0.0,0.0,-3.0,-3.0,-1.0,-9.0,2.0,0.0,-1.0,7.0,0.0,-5.0,0.0,0.0,-5.0,0.0,0.205
-2.0,-1.0,0.0,-8.0,-4.0,6.0,6.0,1.0,1.0,-2.0,-22.0,-4.0,3.0,0.0,0.0,1.0,0.0,0.05
0.0,0.0,0.0,6.0,-5.0,-5.0,-5.0,-7.0,-4.0,-3.0,-2.0,4.0,-2.0,0.0,0.0,1.0,4.0,0.737
2.0,1.0,0.0,2.0,0.0,-6.0,-2.0,-4.0,-1.0,0.0,16.0,1.0,-1.0,0.0,0.0,-1.0,6.0,0.914
0.0,0.0,0.0,2.0,-5.0,0.0,8.0,-3.0,-2.0,-2.0,2.0,3.0,4.0,0.0,0.0,2.0,-3.0,0.672
0.0,0.0,0.0,5.0,2.0,6.0,0.0,-3.0,5.0,1.0,3.0,3.0,0.0,0.0,0.0,0.0,-3.0,0.461
-1.0,-1.0,0.0,-4.0,-3.0,2.0,3.0,-2.0,3.0,-1.0,-8.0,0.0,1.0,0.0,0.0,1.0,-2.0,0.251
1.0,0.0,0.0,-5.0,0.0,2.0,5.0,-4.0,2.0,0.0,7.0,3.0,2.0,0.0,0.0,1.0,0.0,0.852
0.0,0.0,0.0,-4.0,-2.0,6.0,5.0,2.0,-3.0,-1.0,-7.0,5.0,3.0,0.0,0.0,0.0,-6.0,0.35
1.0,0.0,0.0,1.0,-1.0,6.0,-3.0,0.0,6.0,0.0,6.0,0.0,-2.0,0.0,0.0,0.0,2.0,0.683
-2.0,-1.0,0.0,-4.0,-3.0,2.0,2.0,0.0,3.0,-2.0,-38.0,-2.0,1.0,0.0,0.0,-1.0,-4.0,0.005
1.0,0.0,0.0,-4.0,2.0,-1.0,7.0,0.0,-5.0,1.0,7.0,-5.0,4.0,0.0,0.0,0.0,-2.0,0.351
0.0,0.0,0.0,-6.0,-2.0,0.0,0.0,3.0,6.0,-1.0,-5.0,-4.0,0.0,0.0,0.0,-1.0,-4.0,0.186
